หน้ากาก
nâaˑkàak	mask	ผ้าเช็ดตัว
phâaˑchétˑtua	towel	ผ้าห่ม
phâaˑhòm	blanket	แข่งขัน
khɛ̀ŋˑkhǎn	[to] race;contest;compete	วันเดียวกัน
wanˑdiawˑkan	same day	เยอะขึ้น
yə́ khʉ̂n	increase more	กิจกรรม
kìtˑcaˑkam	activity	อาชีพ
aaˑchîip	occupation	ทำเป็น
tham pen	pretend	เตียง
tiaŋ	bed	ซื้อของ
sʉ́ʉˑkhɔ̌ɔŋ	shopping	เอกสาร
èekˑkaˑsǎan	document	ตะกร้า
tàˑkrâa	basket	ฟักบัว
fák bua	lotus	ผัก
phàk	vegetable	ชวน
chuan	to invite	ไม่มีเจ้าของ
mâyˑmii câwˑkhɔ̌ɔŋ	to not have an owner	หมาจร
mǎa cɔɔn	stray dog	ส่วนใหญ่
sùanˑyày	mostly	คนเล่น
khon lên	player	ทำให้
thamˑhây	to cause/ to make 
